id,fecha,hora,ruta,operador,nro_vuelo,tipo_aeronave,registro,cn_ln,total_a_bordo,cantidad_de_fallecidos,fallecidos_en_tierra
1266,1951-07-24,05:45:00,"Gao, Mali",Sabena,NaN,Douglas DC-3,OO-CBA,6327,3.0,3.0,0.0
1267,1951-07-29,00:00:00,"Cochabamba, Bolivia",Loide Aéreo Nacional,NaN,Curtiss C-46A,CB-39,26488,7.0,7.0,0.0
1268,1951-08-08,21:00:00,"Barilla Bay, Australia",Trans Australia Airlines,NaN,NaN,VH-TAT,13083,2.0,2.0,0.0
1269,1951-08-11,09:25:00,"Moisville, France",Air France,NaN,Douglas DC-3D,F-BAXB,42971,5.0,5.0,0.0
1270,1951-08-17,00:00:00,"Ubatuba, Brazil",REAL,NaN,Douglas DC-3,PP-YPX,9154,10.0,10.0,0.0
1271,1951-08-24,04:28:00,"Decoto, California",United Air Lines,615,Douglas DC-6B,N37550,43260/180,50.0,50.0,0.0
1272,1951-09-08,19:00:00,"Sao Paulo, Brazil",VASP,NaN,Douglas DC-3,PP-SPQ,1559/27036,13.0,13.0,3.0
1273,1951-09-12,12:30:00,"Off Ialas Baeares, Spain",Societe Alpes Provence,NaN,Douglas DC-3,F-BEIZ,15985/32733,39.0,39.0,0.0
1274,1951-09-12,11:46:00,"Off Redwood City, California",United Air Lines,NaN,Boeing 377 Stratocruiser 10-34,N31230,15970,3.0,3.0,0.0
1275,1951-09-15,00:00:00,"Bangalore, India",Air India,NaN,Douglas C-47A-30-DK Dakota III,VT-CCA,13853/25298,28.0,22.0,0.0
1276,1951-09-27,00:00:00,Near Tachikawa Air Base,Military - US Air Force,NaN,Fairchild C-119C-15-FA Flying Boxcar,49-169,10406,14.0,14.0,0.0
1277,1951-09-29,00:00:00,"La Paz, Bolivia",Frigorifico Cooperativo Los Andes,NaN,Curtiss C-46D-15-CU,CB-43,33346,27.0,27.0,0.0
1278,1951-10-08,00:00:00,"Cerro Blanco, Mexico",Aero Transportes,NaN,Douglas DC-3,XA-GOR,14007/25452,8.0,8.0,0.0
1279,1951-10-15,00:00:00,"East Griqualand, South Africa",South African Airways,NaN,Douglas DC-3,ZS-AVJ,6891,17.0,17.0,0.0
1280,1951-10-15,00:00:00,North Atlantic,Military - U.S. Air Force,NaN,Boeing C-97A Stratofreighter,49-2602,16224,12.0,12.0,0.0
1281,1951-10-17,18:55:00,"Mt. Benson, BC, Canada",Queen Charlotte Airlines,NaN,Consolidated PBY-5A Catalina,CF-FOQ,400,23.0,23.0,0.0
1282,1951-10-22,00:00:00,"Skopje, Yugoslavia",JAT Yugoslav Airlines,NaN,Douglas DC-3,YU-ACC,13014,12.0,12.0,0.0
1283,1951-10-27,19:00:00,"Near Flores, Guatemala",Military - Guatemalan Air Force,NaN,Douglas C-47,FAGO961,NaN,29.0,27.0,0.0
1284,1951-11-05,09:29:00,"Near Tucumcari, New Mexico",Transocean Air Lines,CAM5763,Martin 202,N93039,9160,29.0,1.0,0.0
1285,1951-11-13,13:00:00,"Puy-de-Dôme, France",Military - U. S. Air Force,NaN,Fairchild C-82 Packet,45-57801A,10171,36.0,36.0,0.0
1286,1951-11-15,09:00:00,"Near Lodz, Poland",LOT Polish Airlines,NaN,Lisunov Li-2P,SP-KLA,18438505,18.0,18.0,0.0
1287,1951-11-17,16:23:00,"Near  Novosibirsk, Russia",Aeroflot,NaN,Ilyushin IL-12,CCCP-L1775,93013112,23.0,23.0,0.0
1288,1951-11-19,00:00:00,"Cairo, Egypt",Devlet Hava Yollari,NaN,Douglas DC-3,TC-ACA,7352,5.0,5.0,0.0
1289,1951-11-21,07:45:00,"Calcutta, India",Deccan Airways,NaN,Douglas DC-3,VT-AUO,13265,17.0,16.0,0.0
1290,1951-11-24,06:00:00,"Zurich, Switzerland",El Al,NaN,Douglas DC-4,4X-AND,10512,7.0,6.0,0.0
1291,1951-11-27,00:00:00,"San Luis Acatlan, Mexico",Lineas Aereas Unidas,NaN,DC-2-243,XA-DOQ,2077,21.0,13.0,0.0
1292,1951-12-04,07:25:00,"Denver, Colorado",United Air Lines,NaN,Douglas DC-3A,N17109,4999,3.0,3.0,0.0
1293,1951-12-13,00:00:00,"Yaramunda, Papua, New Guinea",Qantas,NaN,de Havilland DH-84 Dragon,VH-UR,NaN,3.0,3.0,0.0
1294,1951-12-16,15:09:00,"Elizabeth, New Jersey",Miami Airlines,NaN,Curtiss Wright C-46F,N1678M,22572,56.0,56.0,1.0
1295,1951-12-23,00:00:00,"Tehran, Iran",Misrair,NaN,SNCASE Languedoc,SU-AHH,41,22.0,22.0,0.0
1296,1951-12-27,04:26:00,"Near Namtso, Russia",Aeroflot,NaN,Lisunov LI-2,L4228,18421601,20.0,20.0,0.0
1297,1951-12-29,22:25:00,"Near Little Valley, New York",Continental Charters,44-2,Curtiss C-46A-50-CU,N3944C,30466,40.0,26.0,0.0
1298,1951-12-30,22:07:00,"Near Fairbanks, Alaska",Transocean Air Lines,501,Curtiss C 46F-CU,N68963,22485,4.0,4.0,0.0
1299,1951-12-30,15:40:00,"Near Phoenix, Arizona",Military - U.S. Air Force,NaN,Douglas C-47D,47-76266,15850/32598,28.0,28.0,0.0
1300,1951-12-31,00:00:00,"Calcutta, India",Kalinga Airlines,NaN,Douglas C-47A,VT-COA,13859/25304,3.0,3.0,0.0
1301,1952-01-02,00:00:00,"Andapa, Madagascar",Air France,NaN,Junkers JU-52/3m,F-BAMQ,106,11.0,6.0,0.0
1302,1952-01-10,19:15:00,"Com Edno, Ireland",Aer Lingus,NaN,Douglas DC-3,EI-AFL,16699/33447,23.0,23.0,0.0
1303,1952-01-19,01:38:00,"Off Sandspit, BC, Canada",Northwest Orient Airlines,324,Douglas DC-4,N45342,27279,43.0,36.0,0.0
1304,1952-01-22,15:43:00,"Elizabeth, New Jersey",American Airlines,6780,Convair CV-240-0,N94229,054,23.0,23.0,7.0
1305,1952-02-04,00:00:00,"Kikwit, Belgian Congo",Sabena,NaN,Douglas DC-3,OO-CBN,13450,15.0,15.0,0.0
1306,1952-02-07,00:00:00,"Kaneko, Japan",Military - U.S. Air Force,NaN,Boeing B-29,NaN,NaN,13.0,13.0,5.0
1307,1952-02-11,00:20:00,"Elizabeth, New Jersey",National Airlines,101,Douglas DC-6,N90891,43055/37,63.0,29.0,4.0
1308,1952-02-16,17:34:00,"Near Burgio, Italy",Hunting Air Travel,NaN,Vickers 614 Viking 1,G-AHPI,142,31.0,31.0,0.0
1309,1952-02-19,02:23:00,"Nagpur, India",Deccan Airways,NaN,Douglas DC-3,VT-AXE,19160,16.0,3.0,0.0
1310,1952-02-19,00:00:00,"Near Yaounde, Cameroon",STAAP,NaN,Consolidated  32 Liberator II,F-BEFX,12,9.0,9.0,0.0
1311,1952-02-28,00:00:00,"Uberlandia,  Brazil",Panair do Brasil,NaN,Douglas DC-3A,PP-PCN,3284,8.0,8.0,0.0
1312,1952-03-03,08:10:00,"Nice, France",Air France,NaN,SNCASE Languedoc,F-BCUM,43,38.0,38.0,0.0
1313,1952-03-10,00:00:00,"Cebu, Philippines",Philippine Air Lines,NaN,Douglas C-47A-35-DL,PI-C5,9754,3.0,3.0,0.0
1314,1952-03-12,00:00:00,"Near Sequin, Texas",Military - U.S. Air Force / U.S. Air Force,NaN,Boeing B-29 / Boeing B-29,NaN,NaN,15.0,15.0,
1315,1952-03-22,14:00:00,"Near Gaspe, Quebec, Canada",Maritime Central Airways,NaN,Douglas C-47-DL,CF-BXZ,4695,4.0,4.0,0.0
1316,1952-03-22,10:45:00,"Frankfurt, Germany",KLM Royal Dutch Airlines,NaN,Douglas DC-6,PH-TPJ,43111/102,47.0,45.0,0.0
1317,1952-03-24,03:10:00,"Near Gao, French West Africa",Société Aérienne de Tr. Tropicaux,NaN,Lockheed 18 Lodestar,F-ARTE,2005,21.0,17.0,0.0
1318,1952-03-26,00:00:00,"Moscow, Russia",Aeroflot,NaN,NaN,NaN,NaN,70.0,70.0,0.0
1319,1952-03-29,00:00:00,"Near San Felipe, Venezuela",TACA,NaN,Douglas DC-3,YV-C-AZU,NaN,12.0,12.0,0.0
1320,1952-03-30,00:00:00,"Baguio, Philippines",Philippine Air Lines,NaN,Douglas DC-3,PI-C270,13808,29.0,10.0,0.0
1321,1952-04-05,08:25:00,"New York, New York",US Airlines,4-2,Curtiss C-46F-1-CU,N1911M,22464,2.0,2.0,3.0
1322,1952-04-09,08:07:00,"Mihara Volcano, Japan",Japan Air Lines,NaN,Martin 202,N93043,9164,37.0,37.0,0.0
